                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1086,                 4.1783,                 3.2968,                 1.7393,                0.00389,                0.46358,                0.02246,                0.01408,                0.00256,                0.30464,                0.02582,                0.00676,                 2.3347,                 5.5261,                 3.9259,                  2.007,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.7925,                 2.9509,                 2.3522,                 1.3857,                0.59937,                0.03311,                0.12888,                0.05887,                0.59937,                0.03311,                0.09696,                0.02832,                 2.0563,                 4.1093,                 3.5689,                  1.694,             0.00081594,             0.00081594,             0.00081594
                      3,                 1.7689,                 2.9039,                 2.2019,                 1.3952,                0.40383,                 0.1457,                  0.114,                0.04544,                0.31489,                0.12583,                0.07965,                0.02704,                 2.2836,                 4.4029,                 3.4255,                 1.8495,              0.0012277,              0.0012277,              0.0012277
                      4,                  1.799,                 2.8087,                 2.1249,                 1.3969,                0.01121,                0.11921,                0.00784,                0.00324,                0.00853,                0.09934,                0.00431,                0.00122,                 2.7619,                  10.44,                 6.1331,                 2.6536,              0.0016353,              0.0016353,              0.0016353
                      5,                 1.7949,                 2.7678,                 2.1777,                 1.4527,                0.37803,                0.25828,                0.19023,                0.07005,                0.30123,                0.17881,                0.10491,                0.03022,                 2.2897,                  7.766,                 3.1995,                  1.808,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.7907,                 2.7105,                 1.9501,                 1.4456,                 0.1784,                0.10596,                0.07536,                0.02764,                0.07066,                0.29139,                 0.0658,                0.02435,                 2.1871,                 3.9238,                 5.1775,                 1.7427,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.7823,                 2.7799,                 1.8786,                 1.3926,                0.17575,                0.28477,                0.11125,                0.04045,                0.20068,                0.15894,                0.07862,                0.02671,                 2.3383,                 8.4113,                 3.9092,                 1.8358,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.7197,                 2.7415,                 1.8121,                 1.3812,                0.42032,                0.35099,                0.33722,                0.13815,                0.39787,                0.29801,                0.28042,                0.10234,                 2.0563,                 3.3172,                 2.8727,                 1.5787,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.7125,                  2.611,                 1.7164,                 1.3541,                0.47583,                0.34437,                0.35394,                0.14461,                0.48545,                0.35099,                0.35037,                0.12969,                 1.9808,                 3.1365,                 2.9498,                 1.6048,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.6532,                 2.5219,                 1.6651,                 1.3541,                0.38755,                0.35762,                 0.3268,                0.13536,                0.35808,                0.34437,                0.29348,                0.11136,                 2.0307,                 3.3024,                 2.4797,                 1.7021,              0.0019208,              0.0019208,              0.0019208
                     11,                  1.692,                 2.5054,                 1.6422,                 1.3654,                0.38702,                0.31788,                0.31682,                 0.1244,                0.40867,                0.29139,                0.26762,                 0.0863,                 2.0764,                 3.2274,                 2.3063,                 1.6466,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.7034,                 2.5528,                  1.659,                 1.3508,                 0.3875,                 0.3245,                0.28548,                 0.1105,                 0.4139,                0.30464,                0.28316,                0.08832,                 2.1579,                 3.1248,                 2.2379,                 1.6858,               0.001901,               0.001901,               0.001901
                     13,                 1.6739,                 2.6647,                 1.6017,                 1.3586,                0.56547,                 0.3245,                 0.3366,                0.14635,                0.52801,                0.29801,                0.30177,                0.09829,                 2.1282,                  3.372,                 2.2037,                 1.6263,              0.0018911,              0.0018911,              0.0018911
