                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6655,                 2.4899,                 1.5203,                 1.3085,                 0.2602,                0.30928,                0.24151,                0.09304,                0.54079,                0.17526,                 0.2027,                0.07508,                  2.098,                 3.3379,                 2.4654,                 1.8451,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.6825,                 2.5207,                  1.515,                 1.3399,                0.18368,                 0.2268,                0.14146,                0.06017,                0.16528,                0.19588,                0.12265,                0.03831,                 2.1587,                 3.4038,                 2.6726,                  1.814,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.6355,                 2.4618,                  1.534,                 1.2957,                0.33433,                0.29516,                0.20104,                0.08566,                0.30768,                0.24742,                0.13165,                0.03534,                 2.2253,                 4.1261,                 2.5568,                 1.7284,              0.0017624,              0.0017624,              0.0017624
                     27,                  1.637,                 2.4731,                 1.4462,                 1.2849,                0.41205,                0.42268,                0.35491,                0.14906,                0.33125,                0.42268,                0.30873,                0.10652,                 1.9646,                 3.2916,                 2.0702,                 1.5015,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.6538,                 2.4911,                 1.4315,                  1.306,                0.49024,                 0.2268,                0.20963,                 0.0907,                0.46573,                0.21649,                0.18583,                0.07079,                 2.1827,                 3.4933,                 2.8471,                  1.814,              0.0017426,              0.0017426,              0.0017426
                     29,                  1.634,                 2.4086,                  1.404,                 1.2851,                0.27585,                0.38144,                0.23897,                0.09857,                0.26844,                0.36082,                0.19862,                0.06684,                 2.1145,                 3.2425,                 2.3399,                 1.7568,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.6191,                 2.4013,                 1.3444,                 1.2682,                0.50604,                0.29576,                0.30317,                0.12895,                0.48477,                0.28866,                0.25491,                 0.0994,                  2.055,                 3.1058,                 2.3624,                 1.6901,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.6269,                 2.4207,                 1.3969,                 1.2966,                0.26533,                0.41328,                0.24648,                0.10445,                0.32965,                 0.2268,                0.19951,                0.07575,                 2.1501,                 3.3633,                 2.4129,                 1.7732,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.6208,                  2.278,                 1.3722,                 1.2819,                0.25557,                0.20619,                0.14997,                0.07248,                0.24983,                0.20946,                0.12701,                0.04718,                  2.136,                 3.9495,                 2.8834,                 1.8247,               0.001703,               0.001703,               0.001703
                     33,                  1.581,                  2.359,                 1.3026,                 1.2704,                0.44769,                0.26804,                 0.2605,                0.09924,                0.36322,                0.24742,                0.20897,                0.07441,                 2.1664,                 3.7113,                 2.5318,                 1.8651,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.6472,                 2.4548,                 1.4024,                 1.3008,                0.23501,                 0.2268,                0.12175,                0.04652,                0.23501,                 0.2268,                0.11148,                0.04109,                 2.2299,                 3.6892,                 3.1851,                 2.0103,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.6457,                 2.4379,                 1.4312,                 1.3177,                0.29899,                 0.3299,                0.26877,                0.09817,                0.25739,                 0.3299,                0.23526,                0.07335,                 2.3142,                 3.4282,                 2.3894,                 1.9183,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.5427,                  2.276,                 1.3334,                 1.2725,                0.33851,                0.23711,                0.17909,                0.07729,                0.30965,                0.20619,                0.15478,                0.05983,                 2.3852,                  3.256,                 2.8778,                 1.8622,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.5879,                 2.3441,                 1.2832,                 1.2566,                0.32763,                0.27835,                0.18624,                0.08177,                0.27729,                0.27835,                 0.1638,                0.06659,                 2.3144,                 3.3922,                 2.8321,                 1.8504,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.6492,                 2.4691,                 1.4152,                 1.2803,                  0.304,                0.35052,                 0.2268,                 0.0945,                0.31507,                0.31959,                 0.2119,                0.07653,                 2.2726,                 3.4135,                 2.4275,                 1.8305,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.5326,                 2.3729,                 1.3852,                 1.2458,                0.29074,                0.40206,                0.19323,                0.07172,                 0.2914,                0.38144,                0.15714,                0.05191,                 2.1229,                 3.4055,                 2.4205,                 1.6924,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5748,                  2.327,                 1.2749,                 1.2493,                 0.3275,                0.16495,                0.15161,                0.07445,                0.26173,                0.18557,                 0.1472,                0.06227,                 2.1101,                 4.0881,                 2.9422,                 1.8097,              0.0016238,              0.0016238,              0.0016238
                     41,                  1.622,                 2.3893,                 1.3204,                  1.317,                0.28238,                0.21909,                0.16256,                0.08042,                0.28283,                0.21649,                0.14769,                0.06107,                 2.0853,                 3.9371,                 2.9017,                 1.7942,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.5877,                 2.4075,                 1.3294,                 1.2878,                0.37208,                0.27835,                0.20296,                0.09637,                0.32926,                0.21649,                0.17862,                0.07132,                 2.0208,                 3.3248,                 2.5934,                 1.7224,               0.001604,               0.001604,               0.001604
                     43,                  1.596,                 2.4091,                 1.3485,                 1.2712,                0.43984,                0.23711,                0.22221,                0.10398,                0.43984,                0.23711,                0.21329,                0.07862,                 2.1723,                  3.346,                 2.7894,                 1.8589,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.6556,                 2.4675,                 1.3137,                 1.2928,                0.39409,                0.25773,                0.19783,                0.09281,                0.38345,                0.24742,                0.18006,                0.07496,                 2.3177,                 3.6962,                 2.8325,                 1.8829,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.6628,                 2.4272,                  1.332,                 1.2968,                0.37575,                0.26804,                0.23234,                0.09997,                 0.3409,                0.24742,                0.19621,                 0.0799,                 2.1596,                 3.7248,                 2.5511,                 1.7261,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.5867,                 2.2682,                 1.2638,                 1.2609,                0.41026,                0.12371,                0.17779,                0.08219,                0.37208,                 0.1134,                0.13848,                0.06009,                 2.3126,                 4.0928,                 2.6538,                 1.8473,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.5351,                 2.2531,                 1.2393,                 1.2394,                0.40857,                0.34186,                0.26624,                0.11158,                 0.3976,                0.29897,                0.22691,                0.07621,                 2.1372,                 3.5124,                 2.2297,                  1.697,              0.0015545,              0.0015545,              0.0015545
                     48,                  1.488,                 2.2409,                 1.1517,                 1.2378,                0.33189,                0.18557,                0.16075,                0.07688,                0.30814,                0.15464,                 0.1389,                0.05869,                 2.1527,                 3.4434,                 3.3079,                 1.7106,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.5392,                 2.2984,                  1.239,                 1.2481,                0.35118,                0.26804,                0.22172,                0.10365,                0.37887,                0.20619,                0.19334,                0.08067,                 2.1499,                 3.4402,                 2.7477,                 1.7194,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.5123,                 2.3413,                 1.1877,                 1.2231,                 0.4319,                0.37624,                0.29635,                0.13926,                0.38131,                 0.3299,                0.26107,                0.10484,                 2.0433,                 3.0722,                 2.2765,                 1.7437,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.5185,                 2.1946,                 1.2024,                 1.2404,                0.38586,                 0.2656,                0.27442,                0.13087,                0.42576,                0.20619,                0.24102,                0.08889,                 2.1866,                 3.3068,                 2.5828,                 1.8318,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.5047,                 2.2643,                 1.1764,                 1.2224,                0.36833,                0.28866,                 0.2651,                0.12418,                0.39865,                0.21873,                0.23231,                0.08869,                 2.0552,                 3.4408,                 2.4024,                 1.6703,               0.001505,               0.001505,               0.001505
                     53,                 1.4771,                 2.3243,                 1.1597,                 1.2285,                0.35812,                0.30928,                0.22222,                0.09242,                0.32797,                0.27835,                 0.1758,                0.06662,                 2.0993,                  3.781,                 2.5863,                 1.7193,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.5386,                 2.2609,                 1.2316,                 1.2325,                0.28386,                0.25773,                0.21948,                0.10063,                0.26275,                0.26804,                0.18914,                0.08125,                 2.1917,                 3.2677,                 2.9367,                 1.7683,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.5314,                 2.2824,                  1.231,                 1.2223,                0.41231,                0.22425,                0.23857,                 0.1105,                0.32072,                0.20619,                0.20643,                0.09135,                 2.1866,                 3.0673,                 2.5085,                 1.7535,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.4907,                 2.1786,                 1.1671,                 1.2298,                0.34929,                0.34021,                 0.2641,                0.10505,                0.27338,                0.28866,                0.21684,                0.08087,                  2.122,                 3.1492,                 2.4598,                 1.7187,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.5055,                 2.1319,                 1.2054,                  1.211,                0.46066,                0.27835,                 0.2727,                0.10459,                0.42654,                0.25773,                0.22243,                0.07991,                 2.1155,                 3.0711,                 2.1599,                  1.706,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.5335,                 2.2779,                 1.1726,                 1.2105,                0.24925,                0.18557,                0.12532,                0.05459,                0.23994,                0.16495,                0.11648,                0.04279,                  2.301,                 3.2703,                  3.042,                  1.876,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.5728,                 2.2506,                 1.1957,                 1.2391,                0.30583,                0.28616,                0.21712,                0.10276,                0.29936,                0.28866,                0.19384,                 0.0835,                 2.1472,                 3.1138,                 2.4792,                 1.7305,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.4668,                  2.262,                 1.1299,                 1.2102,                0.20495,                0.29897,                0.19407,                0.07822,                0.20476,                0.25773,                0.16795,                0.06283,                 2.1802,                 3.1567,                 2.6647,                 1.8229,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.5405,                 2.2215,                 1.1342,                  1.221,                0.23761,                0.26804,                 0.1993,                0.08296,                0.22963,                0.24742,                0.18024,                0.06954,                 2.1759,                 3.0809,                 2.6056,                 1.7459,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.5068,                  2.197,                 1.0908,                 1.2032,                0.24928,                0.23711,                0.15694,                0.06956,                0.23845,                 0.2268,                0.13501,                 0.0545,                 2.2999,                 3.4552,                  2.986,                 1.9886,               0.001406,               0.001406,               0.001406
                     63,                 1.4799,                 2.2204,                  1.117,                 1.2148,                0.28805,                0.27835,                0.21528,                0.09556,                0.27011,                0.25773,                0.18417,                0.07045,                 2.1129,                 3.4302,                 2.5657,                 1.7899,              0.0013961,              0.0013961,              0.0013961
